МАОУООШ	МАОУ ООШ
Агротехническийремесленный	агротехнический ремесленный
Горно - промышленный	горно-промышленный
МОХасавюртовский	МО Хасавюртовский
муниипального	муниципального
МАОУСШ	МАОУ СШ
Улан - Удэ	Улан-Удэ
НОВО - САВИНОВСКОГО 	Ново-Савиновского 
учре-ждение	учреждение
Среднняя	средняя
Оновная	основная
Общеобразовательеое	общеобразовательеное
Общеобразоватальное	общеобразовательеное
бюджетноее	бюджетное
Респукблики	Республики
казенное е	казенное
Башкортсотан	Башкортостан
Бшкортостан	Башкортостан
Башкортотстан	Башкортостан
Башкортоста	Башкортостан
Муниципальное казенное общеобразовательная	Муниципальное казенное общеобразовательное
Красноармейскогомуниципального	Красноармейского муниципального
коррекционноеобразовательное	коррекционное образовательное
учреждениеРоснобская	учреждение Роснобская
обдщеобразовательное	общеобразовательное
учреждениеКличкинская	учреждение Кличкинская
учреждениеУсуглинская	учреждение Усуглинская
Санкт - Петербурга	 Санкт-Петербурга
Санкт- Петербурга	 Санкт-Петербурга
бюджнтное	бюджетное
учреждениеЛицей	учреждение Лицей
автномное	автономное
учрежднние	учреждение
ГонготаЧитинского	Гонгота Читинского
Казённоеобще образовательное	Казённое общеобразовательное
Колониипос	Колонии пос
169Центрального	169 Центрального
7ИМЕНИ	7 ИМЕНИ
171Новосельская	171 Новосельская
Муниципальная бюджетное общеобразовательная	муниципальная бюджетная общеобразовательная
Муниципальное казённая общеобразовательное	муниципальное казённое общеобразовательное
Муниципальная автономное образовательная	муниципальная автономная образовательная
Муниципальное автономная общеобразовательное	муниципальное автономное общеобразовательное
Муниципальное бюджетного общеобразовательное	муниципальное бюджетное общеобразовательное
общеобразовательногоучреждения	общеобразовательного учреждения
филал	филиал
Еспублики Татарстан	Республики Татарстан
СЕРГЕЕВСКАЯ РЕДНЯЯ ШКОЛА	Сергеевская средняя школа
Школафилиал	Школа филиал
Верх - Обская	Верх-Обская
Усть - Нейская	Усть-Нейская
Кызыл – Октябрь	Кызыл-Октябрь
Ваныш - Алпаутово	Ваныш-Алпаутово
Восточно – Сибирский	Восточно-Сибирский
технико – экономический	технико-экономический
бизнес – технологий	бизнес-технологий
механико - технологический	механико-технологический
Художественно - гуманитарный 	художественно-гуманитарный 
имениГероя	имени Героя
Морозово - Борковская	Морозово-Борковская
Средная образовательная	Средняя образовательная
Учреждениеартемовская	Учреждение артемовская
Специальнаякоррекционнаяобщеобразовательная	специальная коррекционная общеобразовательная
Муниципательное	Муниципальное
Коррекционнаяшкола	коррекционная школа
оющеобразовательного	общеобразовательного
школаЗаинского	школа Заинского
общеобразоватекльное	общеобразовательное
бщеобразовательное	общеобразовательное
общеобразогвательное	общеобразовательное
Муниципальное казённая общеобразовательное учреждение 	муниципальное казённое общеобразовательное учреждение 
казённоеобразовательное	казённое образовательное
буджетное	бюджетное
общеобразовательное 8учреждение общеобразовательное учреждение
азенное	казенное
vмуниципального	муниципального
Государственноме	Государственное
Ростована-Дону	Ростова-на-Дону
учреждениеЛицей	учреждение Лицей
Учреждениелиповецкая	Учреждение Липовецкая
Учреждениегаленковская	Учреждение Галенковская
учреждениеЦолодинская	учреждение Цолодинская
учреждениеКуйсунская	учреждение Куйсунская
Эстетическогоцикла	Эстетического цикла
Районакурской	Района курской
Общеобазовательное	общеобразовательное
Надеждинскоенадеждинского	Надеждинское надеждинского
учреждениеМордовско	учреждение Мордовско
рапйона	района
10имени	10 имени
учржедение	учреждение
Государственноеобразовательноеучреждение	государственное образовательное учреждение
Бюджееное	Бюджетное
